avg,max,min,date
379.99,449.99,309.99,2022-10-04
379.99,449.99,309.99,2022-10-05
471.1,659.99,309.99,2022-10-06
379.99,449.99,309.99,2022-10-07
429.99,629.99,309.99,2022-10-08
488.74,659.99,309.99,2022-10-09
379.99,449.99,309.99,2022-10-10
379.99,449.99,309.99,2022-10-11
403.74,629.99,309.99,2022-10-12
429.99,629.99,309.99,2022-10-13
379.99,449.99,309.99,2022-10-14
418.74,629.99,309.99,2022-10-15
378.74,449.99,309.99,2022-10-16
406.66,629.99,309.99,2022-10-17
474.99,659.99,309.99,2022-10-18
378.74,449.99,309.99,2022-10-19
479.99,689.99,309.99,2022-10-20
491.64,803.86,309.99,2022-10-21
488.36,753.82,309.99,2022-10-22
482.01,742.9,309.99,2022-10-23
486.78,738.55,309.99,2022-10-24
436.8,659.99,309.99,2022-10-25
474.13,739.0,309.99,2022-10-26
399.33,614.77,309.99,2022-10-27
481.43,735.99,309.99,2022-10-28
482.23,718.99,309.99,2022-10-29
495.76,898.99,309.99,2022-10-30
502.7,895.89,300.0,2022-10-31
513.08,895.89,300.0,2022-11-01
481.78,809.95,300.0,2022-11-02
507.56,879.99,300.0,2022-11-03
501.41,889.99,300.0,2022-11-04
480.76,797.95,300.0,2022-11-05
473.57,799.0,300.0,2022-11-06
473.57,799.0,300.0,2022-11-07
473.57,799.0,300.0,2022-11-08
480.97,860.99,300.0,2022-11-09
482.8,849.99,300.0,2022-11-10
496.05,849.99,300.0,2022-11-11
494.17,855.99,300.0,2022-11-12
489.7,889.99,300.0,2022-11-13
498.81,819.99,300.0,2022-11-14
486.2,819.99,300.0,2022-11-15
478.39,794.98,300.0,2022-11-16
468.83,794.94,300.0,2022-11-17
462.2,794.0,300.0,2022-11-18
464.31,793.99,300.0,2022-11-19
465.52,659.99,300.0,2022-11-20
469.3,793.99,300.0,2022-11-21
464.4,689.99,303.81,2022-11-22
481.26,817.98,303.81,2022-11-23
482.25,817.98,309.8,2022-11-24
484.06,809.99,304.98,2022-11-25
480.08,809.99,309.8,2022-11-26
489.65,793.95,309.8,2022-11-27
499.55,809.99,309.79,2022-11-28
469.81,809.99,263.32,2022-11-29
459.46,689.99,263.32,2022-11-30
469.38,689.99,309.79,2022-12-01
471.32,809.99,309.79,2022-12-02
458.12,659.99,304.98,2022-12-03
457.41,659.99,309.79,2022-12-04
447.57,659.99,309.79,2022-12-05
451.67,659.99,309.79,2022-12-06
455.06,656.99,309.79,2022-12-07
448.32,656.99,309.79,2022-12-08
446.99,649.99,309.79,2022-12-09
445.28,649.99,309.79,2022-12-10
457.66,649.99,309.79,2022-12-11
454.37,623.99,308.81,2022-12-12
451.7,623.99,308.78,2022-12-13
448.36,623.99,308.78,2022-12-14
462.65,803.59,308.78,2022-12-15
458.77,803.59,308.76,2022-12-16
448.76,659.99,308.76,2022-12-17
461.76,669.99,308.76,2022-12-18
452.76,669.99,308.76,2022-12-19
457.59,669.99,308.73,2022-12-20
448.93,611.44,308.73,2022-12-21
465.59,803.59,308.73,2022-12-22
440.87,599.99,308.73,2022-12-23
432.91,599.99,308.73,2022-12-24
432.42,599.99,298.78,2022-12-25
426.06,599.99,298.78,2022-12-26
419.12,599.99,298.78,2022-12-27
438.97,599.99,298.78,2022-12-28
439.58,599.99,298.78,2022-12-29
432.31,599.99,298.78,2022-12-30
432.31,599.99,298.78,2022-12-31
440.01,599.99,308.73,2023-01-01
434.66,609.99,308.73,2023-01-02
437.71,609.99,308.73,2023-01-03
435.4,669.99,288.99,2023-01-04
439.51,669.99,308.71,2023-01-05
389.12,574.99,308.69,2023-01-06
445.0,669.99,308.69,2023-01-07
440.14,609.99,308.69,2023-01-08
407.29,876.64,124.99,2023-01-09
397.66,821.75,124.99,2023-01-10
399.3,788.83,124.99,2023-01-11
393.12,773.14,124.99,2023-01-12
399.37,798.72,124.99,2023-01-13
401.72,806.76,124.99,2023-01-14
403.17,778.9,124.99,2023-01-15
405.09,749.99,124.99,2023-01-16
404.83,749.99,124.99,2023-01-17
400.92,749.99,124.99,2023-01-18
404.91,749.99,124.99,2023-01-19
400.54,749.99,124.99,2023-01-20
392.8,749.99,124.99,2023-01-21
408.14,749.99,124.99,2023-01-22
399.11,749.99,124.99,2023-01-23
398.1,749.99,124.98,2023-01-24
396.32,749.99,124.98,2023-01-25
397.2,749.99,123.98,2023-01-26
397.47,749.99,123.98,2023-01-27
395.91,749.99,123.98,2023-01-28
401.89,749.99,123.98,2023-01-29
397.75,749.99,123.98,2023-01-30
401.69,749.99,123.98,2023-01-31
402.2,749.99,123.98,2023-02-01
402.71,729.99,123.98,2023-02-02
405.87,749.99,123.98,2023-02-03
393.81,749.99,123.98,2023-02-04
399.13,729.99,123.98,2023-02-05
397.06,749.99,123.98,2023-02-06
393.6,749.99,123.98,2023-02-07
377.17,729.99,123.98,2023-02-08
392.47,749.99,123.98,2023-02-09
394.6,749.99,123.98,2023-02-10
394.46,749.99,123.98,2023-02-11
390.16,749.99,123.98,2023-02-12
394.0,749.99,123.98,2023-02-13
393.58,749.99,123.98,2023-02-14
387.55,749.99,123.98,2023-02-15
391.46,749.99,123.98,2023-02-16
383.52,749.99,123.98,2023-02-17
383.95,749.99,123.98,2023-02-18
390.95,749.99,123.98,2023-02-19
383.47,857.71,123.98,2023-02-20
384.37,857.71,123.98,2023-02-21
384.44,857.71,123.98,2023-02-22
387.34,1021.64,123.98,2023-02-23
396.63,1021.64,119.99,2023-02-24
399.94,1021.64,119.99,2023-02-25
392.84,1021.64,119.99,2023-02-26
393.78,1021.64,119.99,2023-02-27
389.27,1021.64,119.99,2023-02-28
388.04,1021.64,121.99,2023-03-01
395.92,1021.64,121.99,2023-03-02
378.14,699.99,121.99,2023-03-03
376.31,699.99,121.99,2023-03-04
377.05,729.99,119.99,2023-03-05
374.83,729.99,119.99,2023-03-06
377.89,729.99,119.99,2023-03-07
385.09,749.99,119.99,2023-03-08
376.58,749.99,119.99,2023-03-09
375.77,749.99,118.99,2023-03-10
369.22,749.99,118.99,2023-03-11
385.02,749.99,118.99,2023-03-12
373.74,729.99,118.95,2023-03-13
374.72,729.99,118.95,2023-03-14
389.49,889.99,118.99,2023-03-15
384.35,729.99,118.99,2023-03-16
375.11,889.99,118.99,2023-03-17
375.23,889.99,118.99,2023-03-18
372.56,800.0,118.95,2023-03-19
377.93,975.99,118.95,2023-03-20
379.69,832.37,118.95,2023-03-21
376.23,729.99,118.95,2023-03-22
374.38,729.99,118.95,2023-03-23
383.34,729.99,118.95,2023-03-24
389.02,799.99,119.99,2023-03-25
384.05,799.99,119.99,2023-03-26
381.55,759.99,119.99,2023-03-27
392.14,729.99,119.99,2023-03-28
384.61,729.99,119.99,2023-03-29
383.41,729.99,119.99,2023-03-30
384.25,860.99,119.99,2023-03-31
381.91,991.99,119.99,2023-04-01
378.65,781.22,119.99,2023-04-02
385.04,899.99,119.99,2023-04-03
385.83,899.99,119.99,2023-04-04
385.35,866.99,119.99,2023-04-05
385.02,866.99,119.99,2023-04-06
383.62,998.0,119.99,2023-04-07
385.23,998.0,119.99,2023-04-08
391.31,998.0,119.99,2023-04-09
391.01,997.9,119.99,2023-04-10
382.08,997.9,119.99,2023-04-11
382.08,997.9,119.99,2023-04-12
383.04,997.99,119.99,2023-04-13
383.14,997.9,119.99,2023-04-14
383.57,997.9,119.99,2023-04-15
380.95,809.99,119.99,2023-04-16
378.66,997.9,99.99,2023-04-17
386.18,997.9,99.99,2023-04-18
384.65,997.9,99.99,2023-04-19
384.37,992.99,99.99,2023-04-20
378.58,809.99,99.99,2023-04-21
