avg,max,min,date
50.8,120.59,9.99,2021-08-21
49.87,120.63,9.99,2021-08-22
51.46,120.39,9.99,2021-08-23
51.28,119.99,9.99,2021-08-24
50.86,128.28,9.99,2021-08-25
50.63,128.28,9.99,2021-08-26
52.61,128.28,9.99,2021-08-27
52.67,128.28,9.99,2021-08-28
52.59,128.28,9.99,2021-08-29
53.57,134.99,9.99,2021-08-30
53.25,128.28,9.99,2021-08-31
51.43,128.28,9.99,2021-09-01
51.52,128.28,9.99,2021-09-02
51.98,128.28,9.99,2021-09-03
52.03,128.28,9.99,2021-09-04
51.57,128.28,9.99,2021-09-05
51.18,128.28,9.99,2021-09-06
51.36,128.28,9.99,2021-09-07
51.26,128.28,9.99,2021-09-08
51.16,128.28,9.99,2021-09-09
51.35,119.99,9.99,2021-09-10
51.28,119.99,9.99,2021-09-11
51.32,119.99,9.99,2021-09-12
51.35,128.73,9.99,2021-09-13
50.49,119.99,9.99,2021-09-14
50.45,119.99,9.99,2021-09-15
50.5,119.99,9.99,2021-09-16
50.03,119.99,9.99,2021-09-17
50.58,119.99,9.99,2021-09-18
50.18,119.99,9.99,2021-09-19
50.1,119.99,9.99,2021-09-20
50.55,119.99,9.99,2021-09-21
50.85,127.09,9.99,2021-09-22
51.18,127.09,9.99,2021-09-23
51.6,127.09,9.99,2021-09-24
51.7,126.11,9.99,2021-09-25
51.94,126.11,9.99,2021-09-26
51.66,126.11,9.99,2021-09-27
51.69,126.11,9.99,2021-09-28
52.65,131.99,9.99,2021-09-29
51.79,125.13,9.99,2021-09-30
52.14,125.13,9.99,2021-10-01
52.27,125.13,9.99,2021-10-02
52.45,125.13,9.99,2021-10-03
52.44,125.13,9.99,2021-10-04
52.53,125.13,9.99,2021-10-05
53.07,131.99,9.99,2021-10-06
51.58,125.13,9.99,2021-10-07
51.23,125.13,9.99,2021-10-08
51.14,125.13,9.99,2021-10-09
51.84,130.66,9.99,2021-10-10
51.41,120.25,9.99,2021-10-11
51.91,130.66,9.99,2021-10-12
51.03,119.99,9.99,2021-10-13
50.96,119.99,9.99,2021-10-14
51.91,125.13,9.99,2021-10-15
51.85,125.13,9.99,2021-10-16
51.4,125.14,9.99,2021-10-17
51.38,125.14,9.99,2021-10-18
51.35,130.66,9.99,2021-10-19
51.69,125.13,9.99,2021-10-20
51.64,125.99,9.99,2021-10-21
51.81,128.73,9.99,2021-10-22
51.72,128.73,9.99,2021-10-23
54.61,138.35,9.99,2021-10-24
54.47,138.35,9.99,2021-10-25
52.84,122.99,9.99,2021-10-26
53.54,124.99,9.99,2021-10-27
54.3,131.99,9.99,2021-10-28
53.56,122.99,9.99,2021-10-29
53.14,122.99,9.99,2021-10-30
54.69,131.99,9.99,2021-10-31
53.83,131.99,9.99,2021-11-01
53.32,125.29,9.99,2021-11-02
53.4,125.48,9.99,2021-11-03
52.66,123.99,9.99,2021-11-04
53.13,122.99,9.99,2021-11-05
52.55,122.99,9.99,2021-11-06
53.07,121.99,9.99,2021-11-07
53.09,121.99,9.99,2021-11-08
53.34,121.99,9.99,2021-11-09
53.51,121.99,9.99,2021-11-10
53.52,121.99,9.99,2021-11-11
52.9,121.99,9.99,2021-11-12
52.92,121.99,9.99,2021-11-13
53.18,121.99,9.99,2021-11-14
