avg,max,min,date
123.95,185.88,85.99,2023-04-12
101.99,119.99,85.99,2023-04-13
97.74,119.99,84.99,2023-04-14
97.74,119.99,84.99,2023-04-15
97.74,119.99,84.99,2023-04-16
97.74,119.99,84.99,2023-04-17
97.74,119.99,84.99,2023-04-18
97.74,119.99,84.99,2023-04-19
105.16,124.99,84.99,2023-04-20
111.56,149.99,84.99,2023-04-21
111.56,149.99,84.99,2023-04-22
111.56,149.99,84.99,2023-04-23
111.56,149.99,84.99,2023-04-24
111.56,149.99,84.99,2023-04-25
111.56,149.99,84.99,2023-04-26
111.56,149.99,84.99,2023-04-27
111.56,149.99,84.99,2023-04-28
111.56,149.99,84.99,2023-04-29
111.56,149.99,84.99,2023-04-30
114.99,149.99,84.99,2023-05-01
114.99,149.99,84.99,2023-05-02
111.24,149.99,84.99,2023-05-03
107.74,149.99,84.99,2023-05-04
114.19,149.99,84.99,2023-05-05
114.19,149.99,84.99,2023-05-06
114.19,149.99,84.99,2023-05-07
114.19,149.99,84.99,2023-05-08
114.19,149.99,84.99,2023-05-09
114.19,149.99,84.99,2023-05-10
114.19,149.99,84.99,2023-05-11
114.19,149.99,84.99,2023-05-12
114.19,149.99,84.99,2023-05-13
114.19,149.99,84.99,2023-05-14
114.19,149.99,84.99,2023-05-15
113.19,149.99,84.99,2023-05-16
113.19,149.99,84.99,2023-05-17
113.19,149.99,84.99,2023-05-18
115.16,149.99,84.99,2023-05-19
115.16,149.99,84.99,2023-05-20
115.16,149.99,84.99,2023-05-21
115.16,149.99,84.99,2023-05-22
115.16,149.99,84.99,2023-05-23
115.16,149.99,84.99,2023-05-24
116.02,149.99,84.99,2023-05-25
116.02,149.99,84.99,2023-05-26
116.02,149.99,84.99,2023-05-27
116.02,149.99,84.99,2023-05-28
116.02,149.99,84.99,2023-05-29
116.28,149.99,84.99,2023-05-30
116.13,149.99,84.99,2023-05-31
115.48,149.99,84.99,2023-06-01
115.48,149.99,84.99,2023-06-02
115.43,149.99,84.99,2023-06-03
115.43,149.99,84.99,2023-06-04
115.43,149.99,84.99,2023-06-05
115.43,149.99,84.99,2023-06-06
115.42,149.99,84.95,2023-06-07
115.42,149.99,84.95,2023-06-08
115.42,149.99,84.95,2023-06-09
128.35,182.01,84.95,2023-06-10
126.53,184.15,84.95,2023-06-11
131.96,199.99,84.95,2023-06-12
126.15,177.96,84.95,2023-06-13
131.93,199.99,84.95,2023-06-14
130.8,199.99,84.95,2023-06-15
131.17,199.99,84.95,2023-06-16
130.68,199.99,84.95,2023-06-17
130.4,199.99,84.95,2023-06-18
130.75,199.99,84.95,2023-06-19
129.67,199.99,84.95,2023-06-20
115.42,149.99,84.95,2023-06-21
115.42,149.99,84.95,2023-06-22
115.42,149.99,84.95,2023-06-23
115.42,149.99,84.95,2023-06-24
116.3,149.99,84.95,2023-06-25
116.3,149.99,84.95,2023-06-26
115.57,149.99,84.95,2023-06-27
115.51,149.99,84.95,2023-06-28
114.76,149.99,84.95,2023-06-29
114.76,149.99,84.95,2023-06-30
124.12,199.99,84.95,2023-07-01
124.35,199.99,84.95,2023-07-02
124.24,199.99,84.95,2023-07-03
124.43,199.99,84.95,2023-07-04
112.35,149.99,84.95,2023-07-05
115.07,175.87,84.95,2023-07-06
114.02,161.17,84.95,2023-07-07
112.95,149.99,84.95,2023-07-08
112.95,149.99,84.95,2023-07-09
112.86,149.99,84.95,2023-07-10
121.25,199.99,84.95,2023-07-11
121.51,199.96,84.95,2023-07-12
121.18,199.95,84.95,2023-07-13
122.19,199.95,84.95,2023-07-14
122.16,199.95,84.95,2023-07-15
122.19,199.95,84.95,2023-07-16
117.94,161.39,84.99,2023-07-17
123.26,198.49,84.95,2023-07-18
117.91,160.89,84.99,2023-07-19
123.31,198.49,84.95,2023-07-20
124.33,198.49,84.99,2023-07-21
125.59,198.49,84.95,2023-07-22
126.38,198.49,84.95,2023-07-23
126.38,198.49,84.95,2023-07-24
126.35,198.49,84.95,2023-07-25
126.38,198.49,84.95,2023-07-26
126.38,198.49,84.95,2023-07-27
118.76,149.99,84.95,2023-07-28
116.58,149.99,84.95,2023-07-29
116.58,149.99,84.95,2023-07-30
118.33,149.99,84.95,2023-07-31
122.91,198.49,84.95,2023-08-01
115.17,149.99,84.95,2023-08-02
114.11,149.99,84.95,2023-08-03
115.17,149.99,84.95,2023-08-04
116.54,149.99,84.95,2023-08-05
116.54,149.99,84.95,2023-08-06
116.54,149.99,84.95,2023-08-07
116.5,149.99,84.95,2023-08-08
123.8,198.49,84.95,2023-08-09
123.25,198.49,84.95,2023-08-10
115.12,149.99,84.95,2023-08-11
115.13,149.99,84.95,2023-08-12
115.78,149.99,74.99,2023-08-13
115.07,149.99,74.99,2023-08-14
114.9,149.99,74.99,2023-08-15
109.27,149.99,74.99,2023-08-16
113.16,149.99,74.99,2023-08-17
113.13,149.99,74.99,2023-08-18
113.12,149.99,74.99,2023-08-19
112.78,149.99,74.99,2023-08-20
112.8,149.99,74.99,2023-08-21
112.62,149.99,74.99,2023-08-22
111.86,149.99,74.99,2023-08-23
111.86,149.99,74.99,2023-08-24
111.86,149.99,74.99,2023-08-25
111.89,149.99,74.99,2023-08-26
113.75,149.99,84.95,2023-08-27
113.74,149.99,84.95,2023-08-28
113.74,149.99,84.95,2023-08-29
113.34,149.99,84.95,2023-08-30
113.34,149.99,84.95,2023-08-31
113.34,149.99,84.95,2023-09-01
113.34,149.99,84.95,2023-09-02
113.34,149.99,84.95,2023-09-03
113.39,149.99,74.99,2023-09-04
111.16,149.99,74.99,2023-09-05
111.17,149.99,74.99,2023-09-06
111.17,149.99,74.99,2023-09-07
111.17,149.99,74.99,2023-09-08
111.14,149.99,74.99,2023-09-09
111.26,149.99,74.99,2023-09-10
111.09,149.99,74.99,2023-09-11
111.09,149.99,74.99,2023-09-12
110.02,149.99,74.99,2023-09-13
110.02,149.99,74.99,2023-09-14
110.02,149.99,74.99,2023-09-15
110.01,149.99,74.99,2023-09-16
110.01,149.99,74.99,2023-09-17
110.02,149.99,74.99,2023-09-18
110.02,149.99,74.99,2023-09-19
110.45,149.99,74.99,2023-09-20
110.33,149.99,74.99,2023-09-21
110.02,149.99,74.99,2023-09-22
110.0,149.99,74.99,2023-09-23
109.97,149.99,74.99,2023-09-24
109.99,149.99,74.99,2023-09-25
111.85,149.99,74.99,2023-09-26
111.85,149.99,74.99,2023-09-27
111.84,149.99,74.99,2023-09-28
112.06,149.99,74.99,2023-09-29
113.61,149.99,74.99,2023-09-30
113.51,149.99,74.99,2023-10-01
113.16,149.99,74.99,2023-10-02
113.21,149.99,74.99,2023-10-03
113.59,149.99,74.99,2023-10-04
110.67,149.99,74.99,2023-10-05
108.8,149.99,74.99,2023-10-06
110.7,149.99,74.99,2023-10-07
110.68,149.99,74.99,2023-10-08
112.79,149.99,74.99,2023-10-09
110.67,149.99,74.99,2023-10-10
113.94,149.99,74.99,2023-10-11
113.94,149.99,74.99,2023-10-12
113.94,149.99,74.99,2023-10-13
113.84,149.99,74.99,2023-10-14
113.79,149.99,74.99,2023-10-15
113.93,149.99,74.99,2023-10-16
114.65,149.99,74.99,2023-10-17
113.01,149.99,74.99,2023-10-18
112.99,149.99,74.99,2023-10-19
113.05,149.99,74.99,2023-10-20
113.05,149.99,74.99,2023-10-21
108.56,149.99,74.99,2023-10-22
113.04,149.99,74.99,2023-10-23
113.02,149.99,74.99,2023-10-24
113.01,149.99,74.99,2023-10-25
114.11,149.99,74.99,2023-10-26
113.61,149.99,74.99,2023-10-27
113.65,149.99,74.99,2023-10-28
113.64,149.99,74.99,2023-10-29
113.84,149.99,74.99,2023-10-30
113.64,149.99,74.99,2023-10-31
114.05,149.99,74.99,2023-11-01
114.44,149.99,74.99,2023-11-02
114.48,149.99,74.99,2023-11-03
115.49,149.99,74.99,2023-11-04
114.94,149.99,74.99,2023-11-05
115.08,149.99,74.95,2023-11-06
121.1,149.99,74.95,2023-11-07
121.74,149.99,74.95,2023-11-08
120.49,149.99,74.95,2023-11-09
120.48,149.99,74.95,2023-11-10
120.49,149.99,74.95,2023-11-11
118.65,149.99,74.95,2023-11-12
119.6,149.99,74.95,2023-11-13
119.57,149.99,74.95,2023-11-14
120.09,149.99,74.95,2023-11-15
120.07,149.99,74.95,2023-11-16
117.91,149.99,74.95,2023-11-17
117.91,149.99,74.95,2023-11-18
117.91,149.99,74.95,2023-11-19
115.07,149.99,74.99,2023-11-20
115.07,149.99,74.99,2023-11-21
116.11,149.99,74.99,2023-11-22
118.58,149.99,74.95,2023-11-23
119.87,153.4,74.95,2023-11-24
119.42,149.99,74.95,2023-11-25
119.33,149.99,74.95,2023-11-26
119.32,149.99,74.95,2023-11-27
119.18,149.99,74.95,2023-11-28
120.76,153.96,74.95,2023-11-29
123.65,153.96,74.95,2023-11-30
123.53,159.99,74.95,2023-12-01
120.37,159.99,74.95,2023-12-02
120.77,168.31,74.95,2023-12-03
120.96,168.31,74.99,2023-12-04
121.07,170.75,74.99,2023-12-05
120.25,170.75,74.99,2023-12-06
121.29,170.49,74.99,2023-12-07
121.29,170.49,74.99,2023-12-08
121.29,170.49,74.99,2023-12-09
121.92,170.49,74.99,2023-12-10
119.03,179.92,74.99,2023-12-11
119.24,149.99,74.99,2023-12-12
119.27,149.99,74.99,2023-12-13
119.24,149.99,74.99,2023-12-14
118.63,149.99,74.99,2023-12-15
118.63,149.99,74.99,2023-12-16
116.17,149.99,70.88,2023-12-17
118.63,149.99,74.99,2023-12-18
118.63,149.99,74.99,2023-12-19
127.72,222.77,74.99,2023-12-20
123.23,179.82,74.99,2023-12-21
123.29,181.37,74.99,2023-12-22
120.74,172.9,74.99,2023-12-23
123.29,181.37,74.99,2023-12-24
123.29,181.37,74.99,2023-12-25
120.74,172.9,74.99,2023-12-26
120.74,172.9,74.99,2023-12-27
120.74,172.9,74.99,2023-12-28
120.74,172.9,74.99,2023-12-29
121.56,172.9,74.99,2023-12-30
120.74,172.9,74.99,2023-12-31
123.28,172.9,74.99,2024-01-01
126.21,172.9,74.99,2024-01-02
124.56,172.9,74.99,2024-01-03
123.37,172.9,74.99,2024-01-04
122.88,172.9,74.99,2024-01-05
122.88,172.9,74.99,2024-01-06
122.88,172.9,74.99,2024-01-07
121.21,172.9,74.99,2024-01-08
121.86,172.9,74.99,2024-01-09
122.37,172.9,74.99,2024-01-10
121.64,172.9,74.99,2024-01-11
122.41,172.9,74.99,2024-01-12
123.18,172.9,74.99,2024-01-13
123.18,172.9,74.99,2024-01-14
124.33,172.9,74.99,2024-01-15
124.91,172.9,74.99,2024-01-16
124.91,172.9,74.99,2024-01-17
123.11,172.9,74.99,2024-01-18
123.91,172.9,74.99,2024-01-19
121.64,172.9,74.99,2024-01-20
121.64,172.9,74.99,2024-01-21
122.71,172.9,74.99,2024-01-22
122.31,172.9,74.99,2024-01-23
122.31,172.9,74.99,2024-01-24
122.31,172.9,74.99,2024-01-25
124.01,172.9,74.99,2024-01-26
124.01,172.9,74.99,2024-01-27
123.81,172.9,74.99,2024-01-28
123.81,172.9,74.99,2024-01-29
125.91,182.98,74.99,2024-01-30
127.04,197.87,74.99,2024-01-31
135.95,182.98,99.99,2024-02-01
123.76,172.9,74.99,2024-02-02
123.51,172.9,74.99,2024-02-03
124.4,172.9,74.99,2024-02-04
124.07,172.9,74.99,2024-02-05
124.7,172.9,74.99,2024-02-06
124.04,172.9,74.95,2024-02-07
124.04,172.9,74.95,2024-02-08
124.56,172.9,74.95,2024-02-09
123.48,172.9,74.95,2024-02-10
123.48,172.9,74.95,2024-02-11
123.48,172.9,74.95,2024-02-12
123.48,172.9,74.95,2024-02-13
123.34,172.9,71.33,2024-02-14
123.39,172.9,72.42,2024-02-15
121.95,172.9,74.95,2024-02-16
121.95,172.9,74.95,2024-02-17
121.95,172.9,74.95,2024-02-18
121.95,172.9,74.95,2024-02-19
121.95,172.9,74.95,2024-02-20
123.48,172.9,74.95,2024-02-21
122.91,172.9,74.95,2024-02-22
123.25,172.9,74.95,2024-02-23
122.28,172.9,74.95,2024-02-24
122.24,172.9,74.95,2024-02-25
122.64,172.9,74.95,2024-02-26
122.71,172.9,74.95,2024-02-27
122.02,172.9,74.95,2024-02-28
121.38,172.9,74.95,2024-02-29
122.21,172.9,74.95,2024-03-01
122.23,172.9,74.95,2024-03-02
122.85,172.9,74.95,2024-03-03
123.13,172.9,74.95,2024-03-04
123.99,172.9,74.95,2024-03-05
125.34,172.9,74.95,2024-03-06
125.16,172.9,74.95,2024-03-07
124.92,172.9,74.95,2024-03-08
124.99,172.9,74.95,2024-03-09
124.99,172.9,74.95,2024-03-10
125.06,172.9,74.95,2024-03-11
127.53,200.58,74.95,2024-03-12
123.43,172.9,74.95,2024-03-13
122.81,172.9,74.95,2024-03-14
125.35,199.0,74.95,2024-03-15
123.08,172.9,74.95,2024-03-16
125.35,199.0,74.95,2024-03-17
125.35,199.0,74.95,2024-03-18
131.44,149.99,99.99,2024-03-19
131.44,149.99,99.99,2024-03-20
133.37,149.99,99.99,2024-03-21
133.37,149.99,99.99,2024-03-22
132.71,149.99,99.99,2024-03-23
133.23,149.99,109.99,2024-03-24
133.28,149.99,109.99,2024-03-25
133.62,149.99,109.99,2024-03-26
132.77,172.9,79.99,2024-03-27
130.04,172.9,79.99,2024-03-28
130.04,172.9,79.99,2024-03-29
130.05,172.9,79.99,2024-03-30
130.06,172.9,79.99,2024-03-31
133.87,172.9,89.99,2024-04-01
133.85,172.9,89.99,2024-04-02
133.3,172.9,89.99,2024-04-03
133.3,172.9,89.99,2024-04-04
133.08,172.9,89.99,2024-04-05
132.98,172.9,89.99,2024-04-06
133.08,193.9,74.99,2024-04-07
127.97,199.0,74.95,2024-04-08
133.34,156.88,89.99,2024-04-09
137.91,183.47,89.99,2024-04-10
125.83,183.47,74.95,2024-04-11
127.13,183.47,74.95,2024-04-12
126.68,183.47,74.95,2024-04-13
126.72,183.47,74.95,2024-04-14
138.64,193.9,74.99,2024-04-15
139.16,193.9,74.99,2024-04-16
138.7,193.9,74.99,2024-04-17
138.7,193.9,74.99,2024-04-18
138.2,193.9,74.99,2024-04-19
129.59,193.9,74.95,2024-04-20
129.61,193.9,74.95,2024-04-21
129.61,193.9,74.95,2024-04-22
129.96,193.9,74.95,2024-04-23
138.35,193.9,74.99,2024-04-24
138.31,193.9,74.99,2024-04-25
137.67,183.47,89.99,2024-04-26
134.17,172.9,89.99,2024-04-27
134.22,172.9,89.99,2024-04-28
134.22,172.9,89.99,2024-04-29
134.41,172.9,89.99,2024-04-30
133.65,172.9,89.99,2024-05-01
134.79,172.9,89.99,2024-05-02
137.73,193.9,74.99,2024-05-03
136.2,193.9,74.99,2024-05-04
137.37,193.9,74.99,2024-05-05
137.42,193.9,74.99,2024-05-06
137.42,193.9,74.99,2024-05-07
136.37,193.9,74.99,2024-05-08
135.75,175.1,89.99,2024-05-09
138.97,181.64,89.99,2024-05-10
136.47,175.1,89.99,2024-05-11
136.46,175.1,89.99,2024-05-12
137.21,189.91,89.99,2024-05-13
136.98,177.92,89.99,2024-05-14
135.92,172.9,89.99,2024-05-15
135.97,172.9,89.99,2024-05-16
133.89,159.95,89.99,2024-05-17
135.97,172.9,89.99,2024-05-18
135.97,172.9,89.99,2024-05-19
136.67,177.07,89.99,2024-05-20
135.58,172.9,89.99,2024-05-21
135.58,172.9,89.99,2024-05-22
133.22,159.95,89.99,2024-05-23
132.38,159.95,89.99,2024-05-24
131.55,159.95,89.99,2024-05-25
130.75,149.99,89.99,2024-05-26
131.15,172.9,74.99,2024-05-27
131.73,157.02,89.99,2024-05-28
126.25,178.39,74.95,2024-05-29
133.02,168.29,89.99,2024-05-30
136.13,172.9,89.99,2024-05-31
133.28,168.29,89.99,2024-06-01
134.33,168.29,99.99,2024-06-02
133.03,157.93,99.99,2024-06-03
133.33,168.29,89.99,2024-06-04
132.41,157.85,89.99,2024-06-05
132.27,157.87,89.99,2024-06-06
132.3,157.53,89.99,2024-06-07
132.42,161.3,89.99,2024-06-08
131.96,161.37,89.99,2024-06-09
131.38,149.99,89.99,2024-06-10
131.56,157.72,89.99,2024-06-11
133.23,156.84,89.99,2024-06-12
132.42,156.84,89.99,2024-06-13
135.26,172.9,89.99,2024-06-14
133.45,157.36,89.99,2024-06-15
135.98,172.9,89.99,2024-06-16
132.25,157.28,89.99,2024-06-17
132.42,156.84,89.99,2024-06-18
132.89,156.84,89.99,2024-06-19
132.89,156.84,89.99,2024-06-20
132.91,156.84,89.99,2024-06-21
132.15,156.84,89.99,2024-06-22
133.16,156.84,89.99,2024-06-23
132.82,156.84,89.99,2024-06-24
130.97,156.84,89.99,2024-06-25
132.11,156.84,89.99,2024-06-26
132.47,149.99,89.99,2024-06-27
132.44,156.14,89.99,2024-06-28
133.29,156.84,89.99,2024-06-29
133.73,156.84,99.0,2024-06-30
133.55,156.26,99.76,2024-07-01
132.87,156.16,89.99,2024-07-02
134.3,161.38,99.77,2024-07-03
134.57,162.18,99.77,2024-07-04
133.81,162.37,89.99,2024-07-05
133.61,162.37,89.99,2024-07-06
132.93,162.11,94.95,2024-07-07
124.39,162.11,69.99,2024-07-08
125.28,162.11,69.99,2024-07-09
125.0,162.11,69.99,2024-07-10
124.27,149.99,69.99,2024-07-11
129.32,149.99,89.99,2024-07-12
123.63,149.99,69.99,2024-07-13
123.63,149.99,69.99,2024-07-14
123.22,149.99,74.99,2024-07-15
124.34,159.99,74.99,2024-07-16
124.34,159.99,74.99,2024-07-17
124.33,159.99,74.99,2024-07-18
124.61,156.69,74.99,2024-07-19
124.59,156.19,74.99,2024-07-20
126.08,172.9,74.99,2024-07-21
132.73,156.19,89.99,2024-07-22
131.61,149.99,89.99,2024-07-23
