avg,max,min,date
189.09,259.47,109.99,2023-01-07
187.81,259.47,109.99,2023-01-08
187.81,259.47,109.99,2023-01-09
187.81,259.47,109.99,2023-01-10
195.97,299.99,109.99,2023-01-11
194.97,299.99,109.99,2023-01-12
199.82,299.99,109.99,2023-01-13
202.1,299.99,109.99,2023-01-14
198.67,299.99,109.99,2023-01-15
199.65,299.99,109.99,2023-01-16
198.4,287.99,109.99,2023-01-17
193.69,287.99,109.99,2023-01-18
199.27,299.99,109.99,2023-01-19
198.13,299.99,109.99,2023-01-20
198.02,299.99,109.99,2023-01-21
198.37,299.99,109.99,2023-01-22
195.74,299.99,109.99,2023-01-23
195.19,299.99,109.99,2023-01-24
192.75,299.99,109.99,2023-01-25
195.21,299.99,109.99,2023-01-26
194.81,299.99,109.99,2023-01-27
194.15,299.99,109.99,2023-01-28
193.08,299.99,109.99,2023-01-29
191.17,299.98,109.99,2023-01-30
189.89,299.13,109.99,2023-01-31
188.17,299.93,109.99,2023-02-01
188.24,299.92,109.99,2023-02-02
183.5,269.99,109.99,2023-02-03
188.27,299.98,109.99,2023-02-04
181.93,269.99,109.99,2023-02-05
184.97,269.99,109.99,2023-02-06
190.85,299.4,109.99,2023-02-07
184.96,269.99,109.99,2023-02-08
188.95,300.14,109.99,2023-02-09
189.02,297.49,109.99,2023-02-10
190.11,297.27,109.99,2023-02-11
183.13,269.99,109.99,2023-02-12
189.29,296.59,109.99,2023-02-13
189.26,295.86,109.99,2023-02-14
184.31,269.99,109.99,2023-02-15
187.54,300.14,109.99,2023-02-16
189.19,300.14,109.99,2023-02-17
183.69,269.99,109.99,2023-02-18
184.4,292.87,109.99,2023-02-19
183.79,269.99,109.99,2023-02-20
185.06,291.4,109.99,2023-02-21
184.48,290.74,109.99,2023-02-22
182.96,290.64,109.99,2023-02-23
182.42,269.99,109.99,2023-02-24
183.59,269.99,109.99,2023-02-25
183.56,315.46,109.99,2023-02-26
183.79,314.84,109.99,2023-02-27
181.8,269.99,109.99,2023-02-28
180.99,313.56,109.99,2023-03-01
181.67,312.59,109.99,2023-03-02
181.23,311.35,109.99,2023-03-03
182.67,311.35,109.99,2023-03-04
186.37,311.35,109.99,2023-03-05
183.99,311.35,109.99,2023-03-06
182.23,273.06,109.99,2023-03-07
183.95,269.99,109.99,2023-03-08
186.61,311.35,109.99,2023-03-09
181.65,269.99,109.99,2023-03-10
181.42,269.99,109.99,2023-03-11
185.39,304.12,109.99,2023-03-12
181.42,269.99,109.99,2023-03-13
181.11,269.99,109.99,2023-03-14
182.31,269.99,109.99,2023-03-15
181.37,271.23,109.99,2023-03-16
180.84,269.99,109.99,2023-03-17
181.35,269.99,109.99,2023-03-18
180.44,269.99,109.99,2023-03-19
179.75,269.99,109.99,2023-03-20
180.37,269.99,109.99,2023-03-21
179.92,269.99,109.99,2023-03-22
180.01,278.61,109.99,2023-03-23
179.65,278.29,109.99,2023-03-24
181.0,278.16,109.99,2023-03-25
180.91,278.0,109.99,2023-03-26
181.19,277.52,109.99,2023-03-27
179.89,277.1,109.99,2023-03-28
180.97,276.78,109.99,2023-03-29
180.93,274.29,109.99,2023-03-30
181.19,273.87,109.99,2023-03-31
181.64,269.99,109.99,2023-04-01
181.67,269.99,109.99,2023-04-02
182.41,269.99,109.99,2023-04-03
182.98,269.99,109.99,2023-04-04
182.81,269.99,109.99,2023-04-05
183.29,269.99,109.99,2023-04-06
182.64,269.99,109.99,2023-04-07
182.04,269.99,109.99,2023-04-08
181.59,269.99,109.99,2023-04-09
179.88,269.99,109.99,2023-04-10
180.1,269.99,109.99,2023-04-11
179.9,269.99,109.99,2023-04-12
180.1,269.99,109.99,2023-04-13
179.27,269.99,109.99,2023-04-14
