avg,max,min,date
126.73,188.95,69.99,2021-08-21
125.62,192.5,69.99,2021-08-22
125.35,188.5,69.99,2021-08-23
126.64,179.99,79.99,2021-08-24
126.65,179.99,79.99,2021-08-25
126.28,179.99,79.99,2021-08-26
125.54,179.99,79.99,2021-08-27
124.63,170.67,89.99,2021-08-28
124.64,170.67,89.99,2021-08-29
124.61,170.67,89.99,2021-08-30
126.03,179.99,79.99,2021-08-31
126.61,179.99,85.86,2021-09-01
127.53,189.99,63.99,2021-09-02
127.22,179.99,85.86,2021-09-03
127.74,189.99,65.99,2021-09-04
127.76,189.99,65.99,2021-09-05
128.1,179.99,79.2,2021-09-06
125.18,188.95,69.99,2021-09-07
125.44,188.95,69.99,2021-09-08
125.13,188.95,69.99,2021-09-09
125.7,188.95,69.99,2021-09-10
125.84,188.95,69.99,2021-09-11
126.55,179.99,81.99,2021-09-12
126.24,188.95,69.99,2021-09-13
129.45,188.95,89.99,2021-09-14
125.12,175.0,89.99,2021-09-15
125.7,179.0,89.99,2021-09-16
129.07,188.95,89.99,2021-09-17
129.73,192.99,89.99,2021-09-18
129.79,192.99,89.99,2021-09-19
129.4,191.99,77.49,2021-09-20
128.87,188.95,77.49,2021-09-21
128.56,188.95,77.49,2021-09-22
128.62,188.5,81.99,2021-09-23
128.62,188.5,81.99,2021-09-24
130.38,192.5,81.99,2021-09-25
130.33,192.5,81.99,2021-09-26
130.32,189.99,81.99,2021-09-27
130.78,188.95,81.99,2021-09-28
130.21,188.95,81.99,2021-09-29
129.58,188.95,81.99,2021-09-30
127.36,179.99,81.99,2021-10-01
125.9,175.86,81.99,2021-10-02
128.17,179.99,81.99,2021-10-03
128.58,179.99,81.99,2021-10-04
127.56,179.99,81.99,2021-10-05
129.49,188.95,81.99,2021-10-06
128.1,179.99,81.99,2021-10-07
128.31,179.99,81.99,2021-10-08
129.89,189.99,81.99,2021-10-09
129.53,189.99,81.99,2021-10-10
129.05,189.99,81.99,2021-10-11
127.7,189.99,81.99,2021-10-12
127.6,188.5,81.99,2021-10-13
128.06,188.5,81.99,2021-10-14
127.89,188.5,81.99,2021-10-15
126.73,179.99,81.99,2021-10-16
126.28,179.99,81.99,2021-10-17
125.05,175.86,81.99,2021-10-18
129.92,184.99,89.99,2021-10-19
125.82,175.86,89.99,2021-10-20
129.9,184.99,89.99,2021-10-21
125.53,176.99,89.99,2021-10-22
125.57,176.99,89.99,2021-10-23
124.62,175.86,89.99,2021-10-24
124.22,173.99,89.99,2021-10-25
124.25,175.86,81.99,2021-10-26
124.22,175.86,81.99,2021-10-27
126.15,179.99,81.99,2021-10-28
125.22,179.0,81.99,2021-10-29
123.95,176.06,81.99,2021-10-30
126.64,179.99,81.99,2021-10-31
126.91,179.99,81.99,2021-11-01
126.62,179.99,79.95,2021-11-02
126.22,179.99,79.95,2021-11-03
123.73,169.99,89.0,2021-11-04
122.19,176.99,79.95,2021-11-05
122.16,176.99,79.95,2021-11-06
122.56,176.99,79.95,2021-11-07
127.4,184.99,79.95,2021-11-08
126.73,184.99,79.95,2021-11-09
125.31,179.99,79.95,2021-11-10
125.37,179.99,79.95,2021-11-11
125.71,179.99,79.95,2021-11-12
125.32,179.99,79.95,2021-11-13
126.12,184.99,79.95,2021-11-14
124.59,169.99,81.99,2021-11-15
124.56,169.99,81.99,2021-11-16
124.48,169.99,81.99,2021-11-17
125.31,179.99,79.95,2021-11-18
125.03,184.99,64.99,2021-11-19
125.05,184.99,64.99,2021-11-20
125.34,184.99,64.99,2021-11-21
120.18,159.99,79.95,2021-11-22
119.08,159.99,79.95,2021-11-23
117.91,159.99,89.0,2021-11-24
117.36,159.99,89.0,2021-11-25
119.14,169.99,89.9,2021-11-26
119.8,159.99,89.99,2021-11-27
121.3,169.99,89.99,2021-11-28
119.89,159.99,89.99,2021-11-29
121.17,169.99,83.99,2021-11-30
124.01,169.99,83.99,2021-12-01
123.69,169.99,83.99,2021-12-02
123.82,179.99,83.99,2021-12-03
122.86,179.99,83.99,2021-12-04
123.76,179.99,83.99,2021-12-05
123.26,169.99,89.95,2021-12-06
123.93,169.99,89.95,2021-12-07
124.65,169.99,84.02,2021-12-08
125.13,169.99,89.99,2021-12-09
124.79,169.99,84.0,2021-12-10
124.81,169.99,84.0,2021-12-11
124.22,175.99,79.99,2021-12-12
124.12,175.99,84.0,2021-12-13
123.68,175.99,79.99,2021-12-14
123.77,175.99,80.99,2021-12-15
125.2,184.99,80.99,2021-12-16
125.0,179.99,80.99,2021-12-17
124.45,184.99,80.99,2021-12-18
124.3,184.99,80.99,2021-12-19
122.29,179.99,82.71,2021-12-20
121.45,179.99,64.99,2021-12-21
121.16,179.99,82.71,2021-12-22
119.92,179.99,64.99,2021-12-23
119.78,179.99,64.99,2021-12-24
120.71,179.99,64.99,2021-12-25
120.84,179.99,64.99,2021-12-26
122.1,179.99,64.99,2021-12-27
121.84,179.99,64.99,2021-12-28
121.62,179.99,64.99,2021-12-29
122.74,179.99,84.0,2021-12-30
122.7,179.99,84.0,2021-12-31
124.63,179.99,88.65,2022-01-01
125.59,179.99,89.9,2022-01-02
125.37,179.99,89.9,2022-01-03
126.38,179.99,89.9,2022-01-04
126.78,179.99,84.39,2022-01-05
127.85,190.99,85.31,2022-01-06
130.27,199.99,89.9,2022-01-07
127.32,179.99,81.99,2022-01-08
127.35,179.99,81.99,2022-01-09
128.12,196.0,87.99,2022-01-10
127.3,179.99,89.9,2022-01-11
126.61,179.99,82.59,2022-01-12
126.7,179.99,89.9,2022-01-13
126.89,179.99,89.9,2022-01-14
128.01,196.0,89.9,2022-01-15
128.78,196.0,89.9,2022-01-16
127.91,191.9,89.9,2022-01-17
125.79,179.99,69.99,2022-01-18
127.81,191.9,76.85,2022-01-19
126.47,179.99,83.57,2022-01-20
126.73,179.99,89.9,2022-01-21
124.57,179.99,74.99,2022-01-22
124.59,179.99,74.99,2022-01-23
127.49,196.0,67.44,2022-01-24
129.78,198.95,66.44,2022-01-25
129.11,196.0,67.44,2022-01-26
128.05,191.9,66.44,2022-01-27
127.85,179.99,89.9,2022-01-28
129.14,187.99,89.9,2022-01-29
128.42,179.99,89.9,2022-01-30
128.4,179.99,89.9,2022-01-31
126.97,196.0,67.44,2022-02-01
129.03,205.99,67.44,2022-02-02
129.09,205.99,70.99,2022-02-03
126.59,196.0,81.99,2022-02-04
128.79,205.99,81.99,2022-02-05
127.71,199.99,81.99,2022-02-06
125.89,179.99,81.99,2022-02-07
130.68,205.99,81.99,2022-02-08
124.55,179.99,69.99,2022-02-09
125.33,179.99,69.99,2022-02-10
129.38,199.99,69.99,2022-02-11
128.7,198.95,81.99,2022-02-12
126.69,179.99,81.99,2022-02-13
126.84,179.99,69.99,2022-02-14
124.93,179.99,66.99,2022-02-15
127.36,179.99,87.99,2022-02-16
127.35,179.99,83.17,2022-02-17
127.18,179.99,89.99,2022-02-18
127.33,179.99,89.99,2022-02-19
127.14,179.99,89.99,2022-02-20
127.9,188.99,89.99,2022-02-21
130.0,209.5,51.99,2022-02-22
127.71,199.99,81.99,2022-02-23
126.8,199.99,53.99,2022-02-24
126.17,188.99,89.99,2022-02-25
125.77,188.99,89.99,2022-02-26
126.98,188.99,89.99,2022-02-27
127.14,191.9,89.99,2022-02-28
130.49,199.99,81.99,2022-03-01
128.03,179.99,83.17,2022-03-02
128.94,198.95,79.99,2022-03-03
126.62,179.99,79.99,2022-03-04
129.02,199.99,79.99,2022-03-05
129.69,202.99,79.99,2022-03-06
127.0,179.99,79.99,2022-03-07
126.71,179.99,79.99,2022-03-08
126.97,179.99,79.99,2022-03-09
127.02,179.99,79.99,2022-03-10
127.33,179.99,79.99,2022-03-11
126.58,179.99,79.99,2022-03-12
126.86,179.99,79.99,2022-03-13
126.67,179.99,79.99,2022-03-14
127.32,191.9,64.99,2022-03-15
127.2,179.99,79.99,2022-03-16
127.5,179.99,79.99,2022-03-17
128.04,191.9,64.99,2022-03-18
126.95,179.99,79.99,2022-03-19
127.51,179.99,79.99,2022-03-20
129.18,194.75,79.99,2022-03-21
127.08,179.99,79.99,2022-03-22
126.86,175.22,79.99,2022-03-23
126.81,175.75,79.99,2022-03-24
126.66,176.07,79.99,2022-03-25
126.97,176.07,79.99,2022-03-26
126.95,176.07,79.99,2022-03-27
127.79,179.99,79.99,2022-03-28
128.63,179.99,64.99,2022-03-29
128.13,179.99,64.99,2022-03-30
127.99,179.99,64.99,2022-03-31
127.74,179.99,79.99,2022-04-01
126.91,178.0,79.99,2022-04-02
127.7,179.99,79.99,2022-04-03
125.84,176.07,79.99,2022-04-04
126.63,179.99,79.99,2022-04-05
126.17,179.99,70.99,2022-04-06
126.17,178.0,79.99,2022-04-07
125.99,179.99,70.99,2022-04-08
125.28,179.99,64.99,2022-04-09
126.57,179.99,70.99,2022-04-10
127.33,184.8,70.99,2022-04-11
127.18,191.9,64.99,2022-04-12
127.33,181.89,70.99,2022-04-13
128.47,181.7,70.99,2022-04-14
130.8,199.99,70.99,2022-04-15
131.64,199.99,70.99,2022-04-16
132.06,199.99,70.99,2022-04-17
132.25,199.99,70.99,2022-04-18
132.0,199.99,70.99,2022-04-19
129.75,182.42,70.99,2022-04-20
129.74,182.42,70.99,2022-04-21
130.01,182.42,70.99,2022-04-22
131.47,199.99,70.99,2022-04-23
131.01,199.99,70.99,2022-04-24
131.77,199.99,70.99,2022-04-25
131.0,199.99,70.99,2022-04-26
130.86,199.99,70.99,2022-04-27
130.8,199.99,70.99,2022-04-28
130.33,199.99,70.99,2022-04-29
130.51,199.99,70.99,2022-04-30
129.88,199.99,70.99,2022-05-01
130.66,199.99,70.99,2022-05-02
130.58,199.99,70.99,2022-05-03
131.38,199.99,69.99,2022-05-04
132.06,199.99,69.99,2022-05-05
130.91,199.99,69.99,2022-05-06
130.96,199.99,69.99,2022-05-07
131.91,199.99,69.99,2022-05-08
132.48,199.99,69.99,2022-05-09
131.83,199.99,69.99,2022-05-10
131.52,199.99,69.99,2022-05-11
131.55,199.99,69.99,2022-05-12
131.95,199.99,69.99,2022-05-13
131.65,199.99,69.99,2022-05-14
131.93,199.99,69.99,2022-05-15
130.79,199.99,69.99,2022-05-16
131.81,211.16,69.99,2022-05-17
131.86,211.16,74.99,2022-05-18
130.36,199.99,74.99,2022-05-19
130.63,199.99,74.99,2022-05-20
130.12,199.99,74.99,2022-05-21
129.59,199.99,74.99,2022-05-22
131.52,199.99,74.99,2022-05-23
130.85,199.99,74.99,2022-05-24
130.56,199.99,74.99,2022-05-25
130.07,199.99,74.99,2022-05-26
130.23,199.99,74.99,2022-05-27
129.66,199.99,74.99,2022-05-28
129.44,199.99,74.99,2022-05-29
130.14,199.99,74.99,2022-05-30
134.0,219.99,69.99,2022-05-31
130.61,219.99,69.99,2022-06-01
130.59,219.99,69.99,2022-06-02
131.03,219.99,69.99,2022-06-03
128.98,213.16,69.99,2022-06-04
130.55,219.99,69.99,2022-06-05
131.32,219.99,69.99,2022-06-06
128.37,199.99,69.99,2022-06-07
129.21,199.99,69.99,2022-06-08
129.91,199.99,69.99,2022-06-09
130.22,199.99,69.99,2022-06-10
130.79,213.16,69.99,2022-06-11
132.09,219.99,69.99,2022-06-12
132.5,219.99,69.99,2022-06-13
132.99,229.88,69.99,2022-06-14
133.02,229.88,69.99,2022-06-15
133.64,231.94,69.99,2022-06-16
133.44,231.94,69.99,2022-06-17
132.5,231.94,69.99,2022-06-18
133.03,231.94,69.99,2022-06-19
130.54,225.0,69.99,2022-06-20
131.65,229.88,69.99,2022-06-21
130.54,213.16,69.99,2022-06-22
130.39,219.99,69.99,2022-06-23
129.87,225.0,69.99,2022-06-24
126.6,213.16,69.99,2022-06-25
129.88,225.0,69.99,2022-06-26
128.57,213.16,69.99,2022-06-27
126.81,208.42,69.99,2022-06-28
126.62,208.4,69.99,2022-06-29
126.75,208.4,69.99,2022-06-30
126.52,208.4,69.99,2022-07-01
126.38,208.4,69.99,2022-07-02
122.16,179.0,69.99,2022-07-03
127.26,208.4,69.99,2022-07-04
127.26,199.99,69.99,2022-07-05
127.29,199.99,69.99,2022-07-06
128.38,219.99,69.99,2022-07-07
131.53,231.94,69.99,2022-07-08
127.77,213.16,69.99,2022-07-09
131.41,229.88,69.99,2022-07-10
131.58,238.0,69.99,2022-07-11
130.7,231.94,69.99,2022-07-12
127.49,219.99,69.99,2022-07-13
128.99,219.99,69.99,2022-07-14
128.18,219.99,69.99,2022-07-15
129.79,219.99,69.99,2022-07-16
128.49,213.76,69.99,2022-07-17
132.75,229.88,69.99,2022-07-18
131.29,228.15,69.99,2022-07-19
129.36,219.99,69.99,2022-07-20
127.68,214.81,69.99,2022-07-21
128.39,219.0,69.99,2022-07-22
129.48,219.99,69.99,2022-07-23
128.8,219.0,69.99,2022-07-24
134.16,231.94,69.99,2022-07-25
133.47,231.94,69.99,2022-07-26
131.7,225.0,69.99,2022-07-27
129.33,214.81,69.99,2022-07-28
131.51,219.99,69.99,2022-07-29
131.51,219.0,69.99,2022-07-30
133.61,225.0,69.99,2022-07-31
131.88,219.99,69.99,2022-08-01
133.48,229.88,69.99,2022-08-02
134.31,247.39,69.99,2022-08-03
132.62,229.88,69.99,2022-08-04
133.89,247.39,69.99,2022-08-05
132.62,229.88,69.99,2022-08-06
133.29,229.88,69.99,2022-08-07
135.69,229.88,79.99,2022-08-08
133.46,229.88,79.99,2022-08-09
132.5,219.99,78.0,2022-08-10
133.07,228.15,78.0,2022-08-11
130.81,212.43,79.99,2022-08-12
130.93,214.81,79.99,2022-08-13
134.37,229.88,79.99,2022-08-14
132.83,219.99,79.99,2022-08-15
130.64,212.43,79.99,2022-08-16
128.48,202.7,79.99,2022-08-17
127.76,199.99,79.99,2022-08-18
128.81,199.99,79.99,2022-08-19
129.08,199.99,79.99,2022-08-20
130.44,214.81,79.99,2022-08-21
134.61,229.88,79.99,2022-08-22
133.54,219.99,79.99,2022-08-23
130.11,199.99,79.0,2022-08-24
130.28,199.99,79.99,2022-08-25
129.97,209.97,79.99,2022-08-26
129.71,199.99,79.99,2022-08-27
130.15,209.97,79.99,2022-08-28
129.71,199.99,79.99,2022-08-29
130.99,209.97,79.99,2022-08-30
131.07,199.99,79.99,2022-08-31
130.76,199.99,79.99,2022-09-01
131.04,209.97,83.9,2022-09-02
131.34,199.99,83.92,2022-09-03
