avg,max,min,date
169.99,169.99,169.99,2021-11-24
169.99,169.99,169.99,2021-11-25
169.99,169.99,169.99,2021-11-26
169.99,169.99,169.99,2021-11-27
169.99,169.99,169.99,2021-11-28
169.99,169.99,169.99,2021-11-29
169.99,169.99,169.99,2021-11-30
169.99,169.99,169.99,2021-12-01
169.99,169.99,169.99,2021-12-02
169.99,169.99,169.99,2021-12-03
169.99,169.99,169.99,2021-12-04
169.99,169.99,169.99,2021-12-05
169.99,169.99,169.99,2021-12-06
169.99,169.99,169.99,2021-12-07
169.99,169.99,169.99,2021-12-08
169.99,169.99,169.99,2021-12-09
169.99,169.99,169.99,2021-12-10
169.99,169.99,169.99,2021-12-11
169.99,169.99,169.99,2021-12-12
348.0,348.0,348.0,2021-12-13
348.0,348.0,348.0,2021-12-14
348.0,348.0,348.0,2021-12-15
348.0,348.0,348.0,2021-12-16
348.0,348.0,348.0,2021-12-17
348.0,348.0,348.0,2021-12-18
348.0,348.0,348.0,2021-12-19
348.0,348.0,348.0,2021-12-20
348.0,348.0,348.0,2021-12-21
348.0,348.0,348.0,2021-12-22
348.0,348.0,348.0,2021-12-23
348.0,348.0,348.0,2021-12-24
348.0,348.0,348.0,2021-12-25
348.0,348.0,348.0,2021-12-26
320.0,320.0,320.0,2021-12-27
340.0,340.0,340.0,2021-12-28
340.0,340.0,340.0,2021-12-29
340.0,340.0,340.0,2021-12-30
340.0,340.0,340.0,2021-12-31
340.0,340.0,340.0,2022-01-01
340.0,340.0,340.0,2022-01-02
340.0,340.0,340.0,2022-01-03
340.0,340.0,340.0,2022-01-04
340.0,340.0,340.0,2022-01-05
243.3,243.3,243.3,2022-01-06
243.3,243.3,243.3,2022-01-07
243.3,243.3,243.3,2022-01-08
243.3,243.3,243.3,2022-01-09
243.3,243.3,243.3,2022-01-10
243.3,243.3,243.3,2022-01-11
243.3,243.3,243.3,2022-01-12
243.3,243.3,243.3,2022-01-13
243.3,243.3,243.3,2022-01-14
243.3,243.3,243.3,2022-01-15
243.3,243.3,243.3,2022-01-16
243.0,243.0,243.0,2022-01-17
243.0,243.0,243.0,2022-01-18
243.0,243.0,243.0,2022-01-19
243.0,243.0,243.0,2022-01-20
243.0,243.0,243.0,2022-01-21
243.0,243.0,243.0,2022-01-22
243.0,243.0,243.0,2022-01-23
339.71,339.71,339.71,2022-01-24
339.71,339.71,339.71,2022-01-25
339.71,339.71,339.71,2022-01-26
275.85,339.71,211.99,2022-01-27
275.85,339.71,211.99,2022-01-28
269.85,339.71,199.99,2022-01-29
339.71,339.71,339.71,2022-01-30
339.71,339.71,339.71,2022-01-31
339.71,339.71,339.71,2022-02-01
339.71,339.71,339.71,2022-02-02
339.71,339.71,339.71,2022-02-03
286.56,339.71,199.99,2022-02-04
286.56,339.71,199.99,2022-02-05
286.56,339.71,199.99,2022-02-06
329.85,339.71,319.99,2022-02-07
269.85,339.71,199.99,2022-02-08
273.32,319.99,199.99,2022-02-09
319.99,319.99,319.99,2022-02-10
319.99,319.99,319.99,2022-02-11
319.99,319.99,319.99,2022-02-12
319.99,319.99,319.99,2022-02-13
223.87,299.99,143.99,2022-02-14
223.52,299.99,143.99,2022-02-15
219.12,299.99,143.99,2022-02-16
219.27,299.99,143.99,2022-02-17
219.15,299.99,143.99,2022-02-18
219.15,299.99,143.99,2022-02-19
219.15,299.99,143.99,2022-02-20
277.24,319.99,211.73,2022-02-21
270.88,319.99,212.65,2022-02-22
253.24,319.99,199.99,2022-02-23
262.24,319.99,179.99,2022-02-24
253.85,387.19,169.99,2022-02-25
272.3,387.1,169.99,2022-02-26
272.26,386.95,169.99,2022-02-27
272.48,386.89,169.99,2022-02-28
204.45,229.84,169.99,2022-03-01
190.11,229.69,169.99,2022-03-02
217.51,319.99,149.99,2022-03-03
217.12,319.99,149.99,2022-03-04
153.89,168.95,142.72,2022-03-05
157.64,168.95,149.99,2022-03-06
156.94,166.83,149.99,2022-03-07
161.95,181.87,149.99,2022-03-08
161.93,181.8,149.99,2022-03-09
