avg,max,min,date
345.99,462.99,219.99,2021-08-21
345.96,462.99,219.99,2021-08-22
340.22,462.99,249.99,2021-08-23
336.86,462.99,219.99,2021-08-24
336.86,462.99,219.99,2021-08-25
336.86,462.99,219.99,2021-08-26
336.86,462.99,219.99,2021-08-27
335.49,462.99,219.99,2021-08-28
336.83,462.99,219.99,2021-08-29
338.16,462.99,249.99,2021-08-30
337.49,462.99,249.99,2021-08-31
341.76,462.99,239.99,2021-09-01
338.36,462.99,239.99,2021-09-02
338.36,462.99,239.99,2021-09-03
338.69,462.99,239.99,2021-09-04
338.66,462.99,239.99,2021-09-05
338.66,462.99,239.99,2021-09-06
337.66,462.99,239.99,2021-09-07
337.66,462.99,239.99,2021-09-08
337.66,462.99,239.99,2021-09-09
337.73,462.99,239.99,2021-09-10
333.41,449.99,239.99,2021-09-11
331.96,449.99,239.99,2021-09-12
331.96,449.99,239.99,2021-09-13
330.3,449.99,239.99,2021-09-14
329.58,449.99,239.99,2021-09-15
330.1,449.99,239.99,2021-09-16
332.69,462.99,239.99,2021-09-17
332.69,462.99,239.99,2021-09-18
332.69,462.99,239.99,2021-09-19
336.48,462.99,239.99,2021-09-20
336.51,462.99,239.99,2021-09-21
336.51,462.99,239.99,2021-09-22
335.25,462.99,239.99,2021-09-23
335.25,462.99,239.99,2021-09-24
335.25,462.99,239.99,2021-09-25
338.65,462.99,239.99,2021-09-26
340.91,462.99,239.99,2021-09-27
340.91,462.99,239.99,2021-09-28
340.91,462.99,239.99,2021-09-29
337.42,449.99,239.99,2021-09-30
346.83,522.99,239.99,2021-10-01
341.66,462.99,239.99,2021-10-02
342.24,462.99,239.99,2021-10-03
339.78,462.99,239.99,2021-10-04
339.86,462.99,239.99,2021-10-05
339.86,462.99,239.99,2021-10-06
341.75,462.99,239.99,2021-10-07
338.85,462.99,239.99,2021-10-08
341.88,462.99,239.99,2021-10-09
342.69,462.99,239.99,2021-10-10
342.69,462.99,239.99,2021-10-11
342.69,462.99,239.99,2021-10-12
341.34,462.99,239.99,2021-10-13
337.96,449.99,239.99,2021-10-14
337.63,449.99,239.99,2021-10-15
342.24,462.99,239.99,2021-10-16
