date,avg,min,max,category,product
2021-08-25,110.39,60.99,218.99,MOTHERBOARDS,AM4 AMD B450
2021-08-26,110.44,60.99,218.99,MOTHERBOARDS,AM4 AMD B450
2021-08-27,109.73,60.99,218.99,MOTHERBOARDS,AM4 AMD B450
2021-08-28,108.31,60.99,175.99,MOTHERBOARDS,AM4 AMD B450
2021-08-29,109.42,60.99,175.99,MOTHERBOARDS,AM4 AMD B450
2021-08-30,108.55,60.99,175.99,MOTHERBOARDS,AM4 AMD B450
2021-08-31,110.72,60.99,199.99,MOTHERBOARDS,AM4 AMD B450
2021-09-01,112.72,59.99,199.99,MOTHERBOARDS,AM4 AMD B450
2021-09-02,114.49,59.99,218.99,MOTHERBOARDS,AM4 AMD B450
2021-09-03,112.28,63.06,187.99,MOTHERBOARDS,AM4 AMD B450
2021-09-04,112.74,64.99,187.99,MOTHERBOARDS,AM4 AMD B450
2021-09-05,114.04,64.99,187.99,MOTHERBOARDS,AM4 AMD B450
2021-09-06,112.42,59.99,187.7,MOTHERBOARDS,AM4 AMD B450
2021-09-07,110.71,59.99,187.85,MOTHERBOARDS,AM4 AMD B450
2021-09-08,112.33,67.99,170.99,MOTHERBOARDS,AM4 AMD B450
2021-09-09,114.67,67.99,187.53,MOTHERBOARDS,AM4 AMD B450
2021-09-10,112.11,59.99,187.53,MOTHERBOARDS,AM4 AMD B450
2021-09-11,112.36,59.99,187.74,MOTHERBOARDS,AM4 AMD B450
2021-09-12,112.52,59.99,187.58,MOTHERBOARDS,AM4 AMD B450
2021-09-13,114.05,59.99,188.15,MOTHERBOARDS,AM4 AMD B450
2021-09-14,114.55,64.99,170.99,MOTHERBOARDS,AM4 AMD B450
2021-09-15,115.65,64.99,170.99,MOTHERBOARDS,AM4 AMD B450
2021-09-16,115.27,64.99,187.77,MOTHERBOARDS,AM4 AMD B450
2021-09-17,114.67,64.99,188.99,MOTHERBOARDS,AM4 AMD B450
2021-09-18,115.2,64.99,192.16,MOTHERBOARDS,AM4 AMD B450
2021-09-19,113.4,64.99,192.16,MOTHERBOARDS,AM4 AMD B450
2021-09-20,116.42,67.0,192.14,MOTHERBOARDS,AM4 AMD B450
2021-09-21,117.56,67.0,196.0,MOTHERBOARDS,AM4 AMD B450
2021-09-22,120.13,67.0,196.0,MOTHERBOARDS,AM4 AMD B450
2021-09-23,115.1,67.99,189.99,MOTHERBOARDS,AM4 AMD B450
2021-09-24,115.85,67.99,189.99,MOTHERBOARDS,AM4 AMD B450
2021-09-25,117.56,67.99,187.2,MOTHERBOARDS,AM4 AMD B450
2021-09-26,115.91,67.99,186.99,MOTHERBOARDS,AM4 AMD B450
2021-09-27,116.64,67.99,207.76,MOTHERBOARDS,AM4 AMD B450
2021-09-28,115.98,67.99,207.76,MOTHERBOARDS,AM4 AMD B450
2021-09-29,115.0,67.99,186.99,MOTHERBOARDS,AM4 AMD B450
2021-09-30,114.03,67.99,186.99,MOTHERBOARDS,AM4 AMD B450
2021-10-01,113.56,59.99,201.99,MOTHERBOARDS,AM4 AMD B450
2021-10-02,115.58,69.99,204.99,MOTHERBOARDS,AM4 AMD B450
2021-10-03,116.54,59.99,204.99,MOTHERBOARDS,AM4 AMD B450
2021-10-04,115.7,59.99,204.99,MOTHERBOARDS,AM4 AMD B450
2021-10-05,114.13,59.99,194.98,MOTHERBOARDS,AM4 AMD B450
2021-10-06,113.27,60.0,194.98,MOTHERBOARDS,AM4 AMD B450
2021-10-07,113.83,59.99,204.99,MOTHERBOARDS,AM4 AMD B450
2021-10-08,114.34,59.99,205.99,MOTHERBOARDS,AM4 AMD B450
2021-10-09,113.53,59.99,207.99,MOTHERBOARDS,AM4 AMD B450
2021-10-10,113.9,59.99,207.99,MOTHERBOARDS,AM4 AMD B450
2021-10-11,114.3,67.99,207.99,MOTHERBOARDS,AM4 AMD B450
2021-10-12,116.91,67.99,219.99,MOTHERBOARDS,AM4 AMD B450
2021-10-13,112.85,67.99,207.99,MOTHERBOARDS,AM4 AMD B450
2021-10-14,112.33,67.0,194.98,MOTHERBOARDS,AM4 AMD B450
2021-10-15,113.27,67.0,212.99,MOTHERBOARDS,AM4 AMD B450
2021-10-16,113.78,67.99,211.99,MOTHERBOARDS,AM4 AMD B450
2021-10-17,113.99,67.99,211.99,MOTHERBOARDS,AM4 AMD B450
2021-10-18,114.43,67.99,211.99,MOTHERBOARDS,AM4 AMD B450
2021-10-19,112.53,67.99,212.99,MOTHERBOARDS,AM4 AMD B450
2021-10-20,113.96,67.99,212.99,MOTHERBOARDS,AM4 AMD B450
2021-10-21,114.36,67.99,212.99,MOTHERBOARDS,AM4 AMD B450
2021-10-22,114.24,67.99,212.99,MOTHERBOARDS,AM4 AMD B450
2021-10-23,114.23,67.99,212.99,MOTHERBOARDS,AM4 AMD B450
2021-10-24,109.76,67.99,190.04,MOTHERBOARDS,AM4 AMD B450
2021-10-25,108.83,67.99,190.04,MOTHERBOARDS,AM4 AMD B450
2021-10-26,108.54,67.99,189.99,MOTHERBOARDS,AM4 AMD B450
2021-10-27,109.33,67.99,197.0,MOTHERBOARDS,AM4 AMD B450
2021-10-28,109.15,67.99,189.99,MOTHERBOARDS,AM4 AMD B450
2021-10-29,111.35,67.99,189.0,MOTHERBOARDS,AM4 AMD B450
2021-10-30,111.13,67.99,194.97,MOTHERBOARDS,AM4 AMD B450
2021-10-31,110.93,64.57,194.97,MOTHERBOARDS,AM4 AMD B450
2021-11-01,109.89,59.99,189.0,MOTHERBOARDS,AM4 AMD B450
2021-11-02,111.16,59.99,194.98,MOTHERBOARDS,AM4 AMD B450
2021-11-03,109.08,59.99,179.99,MOTHERBOARDS,AM4 AMD B450
2021-11-04,109.94,59.99,179.99,MOTHERBOARDS,AM4 AMD B450
2021-11-05,110.29,59.99,179.49,MOTHERBOARDS,AM4 AMD B450
2021-11-06,108.9,59.99,179.49,MOTHERBOARDS,AM4 AMD B450
2021-11-07,110.11,59.99,189.97,MOTHERBOARDS,AM4 AMD B450
2021-11-08,111.1,59.99,189.97,MOTHERBOARDS,AM4 AMD B450
2021-11-09,110.86,59.99,189.97,MOTHERBOARDS,AM4 AMD B450
2021-11-10,108.45,59.99,169.99,MOTHERBOARDS,AM4 AMD B450
2021-11-11,109.85,59.99,178.8,MOTHERBOARDS,AM4 AMD B450
2021-11-12,110.4,59.99,184.99,MOTHERBOARDS,AM4 AMD B450
2021-11-13,110.88,59.99,185.99,MOTHERBOARDS,AM4 AMD B450
2021-11-14,110.45,59.99,179.99,MOTHERBOARDS,AM4 AMD B450
2021-11-15,111.14,59.99,195.74,MOTHERBOARDS,AM4 AMD B450
2021-11-16,110.42,59.99,198.79,MOTHERBOARDS,AM4 AMD B450
2021-11-17,111.3,59.99,196.39,MOTHERBOARDS,AM4 AMD B450
2021-11-18,112.21,59.99,200.4,MOTHERBOARDS,AM4 AMD B450
